Iteration,SampleCount,P_ESI,P_ESI_Weight
56,51,,
55,147,0.02471486326027422,142
54,68,0.02546460194313637,52
53,39,0.031838375423324336,28
52,28,0.04061618210616425,23
51,114,0.02052095618431231,112
50,89,0.12026633695163366,76
49,134,0.0661383462939379,128
48,152,0.054578991483474164,138
47,199,0.0442376826045438,188
46,180,0.039547087182448475,153
45,55,0.05209199692729756,37
44,1207,0.021039923515139187,1203
43,151,0.02183497139337628,11
42,609,,
41,70,0.21352521709018063,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
