Iteration,SampleCount,P_ESI,P_ESI_Weight
56,53,0.11232075802941177,51
55,141,0.08680216508088236,136
54,76,0.09140528202260421,54
53,39,0.10685197382971642,30
52,25,0.08795389086768478,22
51,116,0.09179998592581216,113
50,86,0.12396343070451238,74
49,126,0.16200042634129042,118
48,151,0.16090543762895704,127
47,215,0.1334282231424022,193
46,181,0.10498554862367471,159
45,51,0.13915619114346348,39
44,1212,0.0808996263565985,1210
43,144,0.06370041730614635,11
42,617,,
41,61,0.17314315584303544,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
