Iteration,SampleCount,P_ESI,P_ESI_Weight
56,51,,
55,152,0.024449839092174817,147
54,69,0.028818040597420616,58
53,35,0.03199504365117736,30
52,24,0.029640741620372422,21
51,110,0.017198584214159717,106
50,92,0.09250865165209361,73
49,135,0.08237409136303409,126
48,151,0.08248060308506615,135
47,204,0.06812280511748775,190
46,181,0.05418445142412523,156
45,50,0.06813766955448518,35
44,1214,0.04309494534981005,1208
43,146,0.05665335617986831,11
42,605,,
41,73,0.1888679806169096,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
