Iteration,SampleCount,P_ESI,P_ESI_Weight
56,51,,
55,148,0.022844591489510492,143
54,66,0.041106258512941175,51
53,44,0.04185462326975,32
52,22,0.03853103802285714,21
51,117,0.01873001677982301,113
50,89,0.08342717258503897,77
49,134,0.07554373209395349,129
48,154,0.08424818129956312,141
47,203,0.051839993213185644,195
46,171,0.045074574207809276,151
45,56,0.05644970867511113,36
44,1200,0.0377826524234805,1195
43,159,0.045768655352727276,11
42,605,,
41,74,0.24117289665,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
