Iteration,SampleCount,P_ESI,P_ESI_Weight
56,49,,
55,147,0.05723491462729481,140
54,71,0.04223372599316837,53
53,40,0.045113588994974994,30
52,28,0.0511351464648265,25
51,114,,
50,88,0.0997213933703273,77
49,130,0.08291841224625258,125
48,149,0.06826773581497336,132
47,217,0.0628362878241344,200
46,165,0.05946833332916832,150
45,59,0.06437504191489876,38
44,1208,0.051752757771406505,1205
43,147,0.0343976210447434,9
42,606,0.04732479637731666,604
41,75,0.21619310624220361,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
