Iteration,SampleCount,P_ESI,P_ESI_Weight
56,50,0.07979501400627685,49
55,144,0.03335985182198408,137
54,77,0.04583647611596953,56
53,39,0.06304539886089956,32
52,24,0.03790002400324766,23
51,121,0.03147678239848584,119
50,82,0.19123779542434188,76
49,133,0.08113775568996504,127
48,153,0.07067917794984863,138
47,203,0.06466596780551685,192
46,178,0.056326739940952046,155
45,51,0.06388136364483911,35
44,1204,0.0380905214192426,1198
43,156,0.0393990563418585,11
42,604,,
41,75,0.2129276253941204,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
