Iteration,SampleCount,P_ESI,P_ESI_Weight
56,51,0.088034840836,50
55,148,0.021108367939154934,142
54,72,0.04209642451285714,56
53,35,0.05372621944857142,28
52,29,0.03724925638833333,24
51,117,0.016576304197517242,116
50,83,0.08879176220648649,74
49,136,0.0726055824958125,128
48,148,0.07844641649104478,134
47,209,0.05424632154156701,194
46,179,0.051797255334936704,158
45,49,0.05467747285466667,36
44,1208,0.03925639030670923,1203
43,151,0.044729727199999986,11
42,600,,
41,77,0.22627645840000002,2
40,3,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
