Iteration,SampleCount,P_ESI,P_ESI_Weight
56,54,0.0808663916923077,52
55,148,0.025957117229166667,144
54,71,0.014484867017543862,57
53,35,0.02452099017241379,29
52,28,0.016249174624999998,24
51,114,0.008123650477876108,113
50,83,0.06452094474647888,71
49,140,0.03937919208527131,129
48,152,0.031217308007194248,139
47,200,0.02162066067368421,190
46,175,0.017124762573333334,150
45,56,0.011052574999999997,35
44,1207,0.012765746335553706,1201
43,151,0.017942972222222228,9
42,612,0.006069697868852458,610
41,69,0.21611404424999997,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
