Iteration,SampleCount,P_ESI,P_ESI_Weight
56,53,0.09080247244460636,52
55,142,0.09586748081689281,138
54,75,0.03481126241886353,55
53,38,0.05294303476785306,30
52,26,0.04631739408086778,23
51,111,0.021806303752925364,109
50,93,0.1349902643113838,77
49,127,0.0785181462809137,122
48,154,0.07172596266390194,134
47,208,0.05884254737063648,193
46,171,0.054278059147156846,149
45,60,0.06398648498303364,38
44,1220,0.04365941854528755,1217
43,136,0.035546238826502,10
42,606,0.024871474807609886,605
41,74,0.2768676981782464,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
