Iteration,SampleCount,P_ESI,P_ESI_Weight
56,52,0.0712637495459356,51
55,152,0.02636779321310447,147
54,68,0.02595437530243094,57
53,35,0.02529886493294642,29
52,26,0.043912269837574965,22
51,110,0.015708371993481244,107
50,91,0.07042269000490255,73
49,137,0.06995338035604798,128
48,150,0.05831582337318233,136
47,208,0.04525890483811037,195
46,172,0.034218812027388995,152
45,57,0.04347444350837678,38
44,1207,0.02060214160918078,1204
43,149,0.017355711720361343,10
42,604,0.018455145098101436,603
41,76,0.20914341284529386,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
