Iteration,SampleCount,P_ESI,P_ESI_Weight
56,53,0.07631095283574939,52
55,142,0.07127967030416468,138
54,77,0.06193026204825053,57
53,36,0.06033449427459892,30
52,26,0.06085907484778108,23
51,115,0.04855610642234843,113
50,83,0.08994740310451924,71
49,143,0.07858284460476417,132
48,144,0.0779951101935836,134
47,201,0.061960109159003365,186
46,183,0.060492284074028534,154
45,56,0.057089540382469064,39
44,1212,0.04908060731512218,1210
43,143,0.04813340070252381,10
42,605,0.04526884421443615,604
41,74,0.25044586316990475,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
