Iteration,SampleCount,P_ESI,P_ESI_Weight
56,50,0.055297684935642306,48
55,149,0.03549642160957037,141
54,76,0.0453084054599341,59
53,34,0.052840225530931643,30
52,25,0.0457157309419639,22
51,117,0.033917889527512145,114
50,84,0.148402342960496,73
49,138,0.08972090501538198,129
48,144,0.0836619319244199,131
47,213,0.06083200558539718,195
46,172,0.05320795789682449,152
45,58,0.05864114931853154,39
44,1210,0.04236296081689773,1208
43,146,0.02781909981269735,11
42,601,,
41,78,0.3020776376830573,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
