Iteration,SampleCount,P_ESI,P_ESI_Weight
56,48,,
55,148,0.037385555987268525,140
54,71,0.04567334557327396,53
53,40,0.05153350215868239,30
52,25,0.03318097285322843,22
51,115,0.02740152241413751,112
50,82,0.13778773049544787,69
49,140,0.08548945856329732,127
48,150,0.07035061137695947,135
47,207,0.05490428478787344,193
46,175,0.05104886516730476,153
45,55,0.08626300424281183,37
44,1216,0.03730670951490131,1212
43,141,0.04788429684742675,10
42,611,0.0322185142452333,610
41,69,0.2704796889779829,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
