Iteration,SampleCount,P_ESI,P_ESI_Weight
56,51,0.09606134259630071,49
55,152,0.05563030605747049,145
54,69,0.0410905246732578,56
53,37,0.04913583901534674,30
52,26,0.0499398813386195,23
51,118,0.03714433431897411,116
50,80,0.08464073399327363,71
49,139,0.08577035573026606,128
48,149,0.07247041950057619,135
47,208,0.06589062963406041,194
46,174,0.05869735664942816,153
45,56,0.06312188589892972,38
44,1207,0.050804497234599275,1204
43,150,0.0327164607402142,11
42,601,,
41,77,0.20616546413182438,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
