Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
58,61,,
57,172,2.384199194708862,162
56,93,6.424347613696898,76
55,48,3.1814420214624572,43
54,36,7.796142661733279,28
53,140,8.708267853493908,137
52,155,3.997242708891411,22
51,221,22.590254619233697,8
50,201,165.0067874271708,19
49,268,,
48,187,76.74933651926523,4
47,49,,
46,1375,,
45,12,,
44,677,,
43.0,4.0,,
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,10,,
38.0,30.0,,
37,5,,
36,15,7.044108102823931,5
35,22,23.068955663158114,4
34,16,11.783734794580637,9
33,62,,
32,7,,
31,16,,
30,10,,
29,19,,
28,12,,
27,83,,
26,3,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
