Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,49,,
55,148,0.9923638512879378,141
54,73,0.6782348811858196,56
53,37,0.7685661326061302,30
52,26,0.6512193379001112,23
51,114,0.6115301449506005,112
50,95,0.44007536302210504,24
49,142,1.6519182795411962,3
48,147,0.7901798798929294,12
47,217,,
46,171,0.9778319230367138,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,1,,
37,7,0.7690289506906627,6
36,29,0.831679507849131,28
35,3,,
34,12,0.8255509975723861,3
33,17,0.29505094843102597,1
32,11,0.8026255377934609,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
