Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,52,,
55,147,1.5511068315104897,143
54,68,0.9810043733283019,53
53,39,0.968231544124138,29
52,25,1.1164878230476192,21
51,121,1.073154228311111,117
50,88,0.567147992109091,22
49,144,1.0879450095680003,3
48,145,0.52104396449056,10
47,219,,
46,171,5.328839888639999,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.9628864759999995,1
37,7,,
36,25,,
35,6,,
34,13,0.22936786211359989,4
33,16,0.5449472800000006,1
32,11,0.9154184567801601,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
