Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,50,,
55,150,0.8087208823821509,144
54,72,0.4979187148595449,58
53,35,0.5926258330000226,30
52,26,0.5316713558405421,23
51,111,0.44953723022415965,109
50,95,0.35960539040733897,21
49,145,0.33427132480264377,3
48,147,0.42430976988520935,12
47,217,,
46,171,2.0181931019048207,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
39,4,0.36437289680253987,3
38,1,,
37,6,,
36,28,0.7642740827796956,27
35,4,,
34,12,0.9288637469086037,3
33,17,0.15462774100624,1
32,11,0.3998490793668585,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
