Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,50,,
55,144,2.435940801162668,138
54,79,0.6597582032781283,59
53,35,0.6524978242387697,31
52,24,0.814061757527665,22
51,114,0.8033251285991829,111
50,95,0.512361177521382,23
49,143,1.2323435511138248,3
48,148,0.555865055741193,13
47,216,,
46,171,1.3432826902771726,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,24,,
35,7,,
34,12,1.1174501704187036,3
33,17,0.059557737330073746,1
32,12,0.7610009528997764,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
