Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
58,61,,
57,170,4.412971663121723,160
56,91,4.267441268512441,72
55,59,4.016110734245345,50
54,29,6.3184573861044,28
53,137,7.096529948550859,134
52,161,4.213200773909089,25
51,219,569.1354848123277,9
50,199,1130.9672768422383,18
49,269,,
48,187,19.056947089395806,4
47,49,,
46,1375,,
45,12,,
44,677,,
43.0,4.0,,
42.0,1.0,,
41.0,2.0,,
40,2,295.76705209303157,1
39,8,,
38,30,77.87214811630001,28
37,7,,
36,16,685.5659485269065,6
35,23,2561.351836703724,6
34,14,850.4722253106544,9
33,62,,
32,7,,
31,16,,
30,11,1040.0753073489411,1
29,18,,
28,12,,
27,83,,
26,3,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
