Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,51,,
55,148,0.23649451440559452,143
54,72,0.07702567982456143,57
53,35,0.0907686179310345,29
52,27,0.18431592173913056,23
51,109,0.13791758878504679,107
50,99,0.043375252173913116,23
49,143,0.13679189666666672,3
48,148,0.08529306153846142,13
47,216,,
46,171,0.12897999999999854,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,25,,
35,6,,
34,13,0.10401262500000003,4
33,16,0.017299699999999252,1
32,11,0.1344740300000001,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
