Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,50,,
55,147,0.9126159394419263,141
54,73,0.7389956705486863,56
53,36,0.6584382096089454,29
52,29,0.878296432115281,25
51,112,,
50,92,0.38914509409797815,21
49,145,0.862572294447779,3
48,145,0.5112318034862814,10
47,219,,
46,171,0.8765961433927121,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,27,,
35,4,,
34,12,0.8514741412521297,3
33,17,0.2794504238870923,1
32,12,0.8471002297785253,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
