Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,46,,
55,148,1.695045404303233,138
54,82,1.6795945240913153,62
53,32,1.847024787671471,31
52,25,2.005276259948816,23
51,118,1.878345614043638,116
50,88,1.5573553877264297,21
49,145,3.368128563868562,3
48,148,2.0511596048444503,13
47,216,,
46,171,9.360445413933963,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
37,7,1.634459283564452,6
36,27,2.9311255207005678,26
35,5,,
34,13,2.8550341641967427,4
33,16,0.24928369865075606,1
32,8,2.237798943056763,3
31,60,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
