Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,51,1.9140854392451194,50
55,148,0.8155351945193607,142
54,73,0.5384151768472264,57
53,38,0.6077924363393824,32
52,24,0.5555259465814384,23
51,113,0.4647429350258982,111
50,93,0.3530028513993088,21
49,144,0.2999641351488089,2
48,149,0.3504054279307573,13
47,216,,
46,170,,
45,42,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,26,0.618348387816055,25
35,6,,
34,13,0.7531036457541844,4
33,16,0.06275403388537404,1
32,12,0.5899393212440931,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
