Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,55,2.6153891499707393,54
55,142,1.6503807838070017,140
54,76,0.4874712578453903,58
53,35,0.7738945595006842,30
52,23,0.6462630806388812,20
51,117,1.7095240361301196,112
50,94,1.1022213263323113,23
49,143,19.42368463082165,3
48,147,9.43642077155444,12
47,217,,
46,170,,
45,42,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,24,,
35,7,,
34,13,492.8973625682588,4
33,15,,
32,13,19.89524271951349,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
