Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,49,2.349799874167397,48
55,151,1.5911976314090845,143
54,75,11.700805383013652,60
53,34,0.8362858699533952,31
52,24,2.3863857061219886,22
51,116,1.6289801825896575,113
50,93,3.118393925952091,23
49,143,0.4787578757695649,3
48,147,2.179593758577394,12
47,217,,
46,170,,
45,42,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,25,83.91253632174904,24
35,7,,
34,13,83.05671363258122,4
33,16,115.70321288115527,1
32,9,94.15901036798613,4
31,59,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
