Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,50,,
55,153,0.3281466066666667,147
54,69,0.06965976896551722,58
53,33,0.05764303892857139,28
52,27,0.18633764545454548,22
51,110,0.08272208037383186,107
50,99,0.060259269565217426,23
49,142,0.18939525,2
48,150,0.060612714285714415,14
47,215,,
46,171,0.12897999999999854,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
39,2,0.1667327999999999,1
38,2,,
37,8,0.18880081857142875,7
36,26,,
35,5,,
34,13,0.11624856499999978,4
33,16,0.03650449999999905,1
32,12,0.12666754142857167,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
