Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,49,,
55,155,1.082499115271709,148
54,67,0.8351316882427857,57
53,34,0.8328522033768466,28
52,29,1.132431563202722,24
51,111,0.731911712072829,110
50,94,0.45823239008360184,21
49,144,2.446261142773378,2
48,148,0.943977342047414,12
47,217,,
46,171,2.0896279815430816,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.47743801093459215,1
37,6,,
36,26,1.1996187293035228,25
35,6,,
34,13,0.9529254780099944,4
33,16,0.18476059790285593,1
32,11,0.8136639445033068,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
