Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,52,2.1419907077364457,50
55,147,0.9533291604081264,141
54,73,0.7168293404249569,56
53,36,0.8640379370099226,29
52,28,1.061002916836712,24
51,115,0.6965303922783699,114
50,91,0.5451510561861624,22
49,144,1.6710479814919263,3
48,149,0.8192013451592663,14
47,215,,
46,171,1.9690590479065868,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.48855718483419963,1
37,5,,
36,28,1.128074930247894,26
35,5,,
34,12,0.8601035735963408,3
33,17,0.023128855038898166,1
32,12,0.810278451680085,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
