Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,48,2.1368635661872726,47
55,153,1.1306004740761086,144
54,74,0.7725478824998246,60
53,32,0.8974434916875867,29
52,26,1.1045333165699251,22
51,116,0.6933878271627423,113
50,92,0.49169430208184367,22
49,144,1.6347084921626458,3
48,149,0.8824530396614897,14
47,215,,
46,171,2.3415645806142056,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
37,7,0.6267887824253477,6
36,25,1.1660353232199763,24
35,7,,
34,11,0.8074732685791678,2
33,18,0.2239748318125292,1
32,12,0.7941157923468505,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
