Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,55,2.700467056666667,54
55,141,1.3735116476115108,139
54,80,0.9232186381967213,61
53,29,0.8155915884888889,27
52,29,1.125302134521739,23
51,115,1.0614525031646018,113
50,91,0.5373421401599999,21
49,145,0.7169578500000001,3
48,147,0.5848994933106666,12
47,217,,
46,170,,
45,42,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
37,7,0.4548802607324799,6
36,26,1.3353765927151156,25
35,6,,
34,13,0.49779841080944015,4
33,16,0.5449472800000006,1
32,11,0.6961178108087255,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
