Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,50,2.7712927578752278,49
55,148,0.7976308002371719,141
54,75,0.5410463125419253,58
53,38,0.5713766823913009,33
52,22,,
51,115,0.4529519026097934,112
50,94,0.3983817618321526,23
49,143,0.3522125394932399,3
48,148,0.44266993997025245,13
47,216,,
46,171,2.3950977384321455,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.24225047265409927,1
37,7,,
36,24,,
35,7,,
34,12,0.757081616864074,3
33,17,0.15701030059193233,1
32,10,0.24029151658477454,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
