Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,55,3.0352662875491667,53
55,146,1.5954334188231458,143
54,74,12.946619232672077,59
53,35,1.116529207343408,31
52,26,1.4317674003150727,24
51,108,0.7511100003531728,107
50,97,0.8233798572135376,21
49,145,9.84876945552793,3
48,148,6.358583627109693,13
47,216,,
46,171,1.1941944642180466,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
37,8,161.3767662451273,7
36,24,,
35,7,,
34,12,76.94523353903564,3
33,17,106.75100650484222,1
32,11,122.28473521234842,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
