Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,49,,
55,147,0.7817348647730168,140
54,76,0.7131342220866356,58
53,36,0.7302810037469429,31
52,26,1.0074908788139318,24
51,111,0.5693307415770342,110
50,93,0.6492895365302394,20
49,146,0.5162266317927335,3
48,147,0.36419271692688165,12
47,217,,
46,171,1.0406330100130123,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,27,,
35,4,,
34,13,0.6562697941414448,4
33,15,,
32,13,0.9157264544877693,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
