Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,51,,
55,143,0.22883104934782605,138
54,77,0.0747874561403509,57
53,37,0.0451024487096774,31
52,26,0.11473405416666674,24
51,116,0.14986986521739135,115
50,90,0.047087463636363694,22
49,143,0.14597891500000007,2
48,149,0.032477784615384565,13
47,216,,
46,170,,
45,42,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
37,7,0.22129020833333327,6
36,25,0.12671017083333325,24
35,7,,
34,13,0.0380066,4
33,16,0.03614080000000053,1
32,11,0.21807450500000003,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
