Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,50,2.10121088244646,49
55,154,0.5473755521617608,147
54,65,0.23365149026097992,54
53,38,0.5206708757571438,29
52,26,0.6205025893893,22
51,114,0.34165924903380535,111
50,95,0.2239170203754942,23
49,143,0.5191694302753043,3
48,148,0.23406955900332177,13
47,216,,
46,171,6.324599574194307,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
37,7,0.3892097024181674,6
36,26,0.7618207927027683,25
35,6,,
34,13,0.2330357964955269,4
33,16,0.08354472933468404,1
32,12,0.4513517543320353,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
