Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,51,2.6717616825445623,50
55,150,1.296769605835375,144
54,67,1.184691363513597,53
53,41,0.31494796308620593,31
52,25,1.522903077271703,23
51,115,0.5441811583020413,113
50,93,5.089486698017359,23
49,143,12.83194915601613,3
48,148,10.416576720908433,13
47,216,,
46,171,43765773.82242636,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
39,3,48778559678675.41,2
38,2,26864757003076.145,1
37,6,,
36,26,16971852015090.34,25
35,6,,
34,12,3497223903116586.5,3
33,17,265171277369397.06,1
32,12,8.026501226406261e+16,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
