Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,55,1.7792634670299148,54
55,145,0.9174519907514278,143
54,73,0.7594091824401418,58
53,34,0.5713371013278767,29
52,28,0.8392202235183095,24
51,110,0.5210572908088713,109
50,95,0.5321320469669811,21
49,145,0.9002490771267558,3
48,148,0.3907334855491425,13
47,216,,
46,171,1.9797787815994852,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
37,8,0.49129106861967126,7
36,25,,
35,6,,
34,12,0.5517986140666215,3
33,17,0.41302388255741285,1
32,9,0.5748139097692737,4
31,59,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
