Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,54,,
55,148,0.25004162767123295,146
54,71,0.10488003050847462,59
53,35,0.0697192667741935,31
52,20,0.04903947777777803,18
51,115,0.09649757777777779,108
50,96,0.03608831904761903,21
49,145,0.14166849666666673,3
48,147,0.04612815833333339,12
47,217,,
46,170,,
45,42,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.014377699999999827,1
37,6,,
36,25,0.2899475208333333,24
35,7,,
34,13,0.013976537499999608,4
33,16,0.00679860000000021,1
32,12,0.07397712857142894,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
