Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,50,2.5919836935142064,49
55,156,1.0662217448389673,149
54,66,0.694397549489648,57
53,36,0.6859634933395306,30
52,25,0.8405187408343099,22
51,119,0.6201927664816634,116
50,86,0.6142069874667743,19
49,147,1.6009044636730148,3
48,146,0.8853739420852274,11
47,218,,
46,171,0.9778142262840284,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.008681844297230512,1
37,4,,
36,30,0.9356717755471574,27
35,4,,
34,12,0.9309873412405324,3
33,16,,
32,10,0.6283539210685709,4
31,59,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
