Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,52,,
55,142,1.7463395443353327,138
54,80,1.7425688792215521,60
53,34,1.9432353555275108,31
52,24,2.133004416580935,22
51,116,1.9364085648792844,113
50,92,1.5028230867123669,22
49,144,3.4017958482965502,3
48,147,2.0074080929706883,12
47,217,,
46,171,9.323964327131442,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.11179323021843857,1
37,6,,
36,25,3.1326199111828172,24
35,7,,
34,12,2.9964645603075564,3
33,17,0.28799355944860494,1
32,11,2.277663299513359,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
