Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,50,,
55,149,0.49803888336882474,143
54,73,0.24753261982055907,58
53,33,0.3651293134357851,28
52,26,0.31945799069645914,21
51,119,0.2711929609547191,115
50,89,0.2474434565055575,21
49,145,1.2779604124360433,3
48,149,0.2708769030735806,14
47,215,,
46,171,5.089273020547948,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,1,,
37,8,0.6437089636290335,7
36,23,,
35,8,,
34,12,0.8408884406722251,3
33,17,0.12058843699836963,1
32,12,0.7916890826647218,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
