Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,52,,
55,147,0.4875286130285978,143
54,74,0.4286030284620164,59
53,31,0.41858585323767894,27
52,30,0.5838718833490062,24
51,112,0.29363525969306403,111
50,94,0.3181123160454006,22
49,144,0.9307274418550191,3
48,148,0.290691515277669,13
47,216,,
46,171,8.887498979691548,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.21162423875959124,1
37,6,,
36,24,1.1409591194002109,23
35,8,,
34,12,1.1491988677327227,3
33,17,0.10292968076159514,1
32,11,0.5466220419004287,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
