Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,49,,
55,148,0.9691531934203579,141
54,75,0.6953827962247464,58
53,34,0.7676231457500656,29
52,26,0.6957122431924693,22
51,120,0.6258591043939137,117
50,87,0.4132506111548558,21
49,145,1.6076639866136766,3
48,146,0.7623197509011653,11
47,218,,
46,171,1.236236997160871,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.1681008295402835,1
37,5,,
36,29,0.7846851633672324,27
35,4,,
34,12,0.7847661382012215,3
33,17,0.3480578942728476,1
32,11,0.7437176797287868,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
