Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,51,,
55,149,1.8747966951120132,144
54,64,2.234773118581763,50
53,44,0.9843189171218866,31
52,26,6.181605437845123,24
51,113,4.970969529651735,112
50,91,2.370178661939308,20
49,146,9.15077198431668,3
48,149,99.62849249364473,14
47,215,,
46,171,137.82483231084933,1
45,41,,
44,1343,,
43,11,,
42,675,,
41.0,4.0,,
40.0,1.0,,
39.0,2.0,,
38,2,183.1644135330627,1
37,7,,
36.0,26.0,,
35,5,,
34,13,4459.719467636196,4
33,16,1890.4186716641505,1
32,11,3728.6366581431603,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
