Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,53,,
55,143,0.08309962635840326,140
54,77,0.06692281614279964,59
53,33,0.057912555933718905,29
52,24,0.03200279299308566,20
51,124,0.06653026605642909,119
50,82,0.1654868203703588,76
49,133,0.10578278369125856,127
48,149,0.046753376179694835,134
47,207,0.04864418805848332,192
46,173,0.03414451703857625,150
45,57,0.029651264433882427,36
44,1218,0.0356127494646702,1213
43,139,0.039245492630037834,9
42,607,0.032227163244017934,605
41,73,0.22374330774863518,3
40,1,,
39,2,0.011007339712085215,1
38,3,0.028247681976859524,1
37,7,0.07548916952478173,5
36,28,,
35,3,,
34,11,,
33,16,0.10888423884191671,14
32,14,0.15826355009402412,10
31,52,0.08322628492214218,23
30,7,0.1547070118841468,3
29,11,0.05918993419075481,9
28,4,,
27,12,,
26,7,0.14984139907052577,6
25,56,,
24,11,,
23,3,,
19,1,,
16,1,,
