Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,50,,
55,143,0.02295560766423358,137
54,77,0.009140432821428573,56
53,37,0.005081457743333333,30
52,25,0.0027244529090909085,22
51,116,0.0038117571769911486,113
50,88,0.3095627938802632,76
49,129,0.10781972625203252,123
48,150,0.03646762084732824,131
47,208,0.05444402787894736,190
46,179,0.004947577333766235,154
45,55,0.00998440250000001,38
44,1210,0.022498242771333884,1207
43,146,0.004209850400000012,10
42,614,0.0008956290984230555,613
41,66,0.04114365500000008,4
40,1,,
39,3,,
38,1,,
37,7,0.0008819516,5
36,28,,
35,3,,
34,13,,
33,16,,
32,11,0.017774096555555483,9
31,56,0.04762772011538459,26
30,5,0.040007277499999924,4
29,10,0.024354706111111072,9
28,4,,
27,11,,
26,8,0.08002499399999996,6
25,58,,
24,9,,
23,3,,
19,1,,
16,1,,
