Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,50,,
55,156,0.49541964161995666,150
54,66,0.4701800704525623,58
53,36,0.4908727522828119,31
52,25,0.5014515494368899,23
51,105,0.47805515967007417,103
50,96,0.6410586516485491,74
49,138,0.38404537606467326,130
48,146,0.3820447764827788,134
47,209,0.37602638324337984,194
46,169,0.4089974664759782,148
45,60,0.381909623501568,37
44,1216,0.3875775307038803,1212
43,140,0.3889409518015178,9
42,611,0.38504373461271635,609
41,70,0.41573270264507145,4
40,1,,
39,3,,
38,1,,
37,7,0.27009655739174143,5
36,28,,
35,2,,
34,11,0.40225702966076327,10
33,18,0.4651361068703539,15
32,12,0.2940739010453223,9
31,50,0.3167096372033686,20
30,12,0.288106126614587,5
29,8,,
28,5,0.3170958176196297,4
27,13,,
26,5,,
25,57,0.27001292191212395,56
24,11,,
23,3,,
19,1,,
16,1,,
