Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,51,0.13688301526696214,50
55,152,0.060920160844183065,146
54,68,0.03284806375000796,56
53,39,0.028913269168257778,32
52,24,0.022748324083076837,23
51,108,0.017291673069375655,106
50,92,0.39546864283438465,73
49,133,0.06464746393619804,124
48,156,0.02574938504883028,138
47,200,0.02726723242971999,189
46,172,0.012953513457728421,146
45,62,0.019036066999138804,37
44,1220,0.012997320447760351,1216
43,138,0.014840825357358561,11
42,608,,
41,70,0.023578704817286782,3
40,2,0.009503508688086124,1
39,1,,
38,3,0.002960546621668135,1
37,7,0.010619899137173832,5
36,28,,
35,3,,
34,13,,
33,13,,
32,15,0.01693827050040031,10
31,52,0.013448853544727373,23
30,9,0.05013884730000825,5
29,8,,
28,4,0.03223098814771867,3
27,12,0.047350683449083136,11
26,8,0.05926307741753463,6
25,63,,
24,4,,
23,3,,
19,1,,
16,1,,
