Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,55,0.1334343882037037,54
55,145,0.49313444460289174,143
54,72,0.4709306037933057,57
53,37,0.48627392152474064,31
52,23,0.49691228176488783,21
51,118,0.47669036101666346,114
50,83,0.6450371563885811,72
49,138,0.3871522388930102,128
48,141,0.38880576547270423,127
47,217,0.3883033976094253,195
46,171,0.4011312718144239,151
45,58,0.38032790383711124,38
44,1211,0.3846370167955074,1208
43,145,0.359359459841352,10
42,618,0.38696212385911305,617
41,60,0.44120025842949295,2
40,3,0.47075303283898035,1
39,1,,
38,2,,
37,8,0.26962202503613497,5
36,28,,
35,2,,
34,12,0.3929401155475156,11
33,14,0.4566862406797572,12
32,15,0.28314620361393245,9
31,56,0.2722842318987924,26
30,5,0.28935975739423186,4
29,9,0.3013645320722631,8
28,4,0.38324056785114147,3
27,12,0.27301150985581146,11
26,7,0.5062295644941429,5
25,60,0.2799971768797137,59
24,8,,
23,2,,
22,1,,
19,1,,
16,1,,
