Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,53,,
55,146,0.45674226723571826,143
54,76,0.4493165515928887,61
53,31,0.46047374152369636,29
52,27,0.4798893941990436,23
51,116,0.45253609025941355,114
50,86,0.6342386653751424,75
49,132,0.3437604266450126,125
48,154,0.36110016055698063,137
47,205,0.3742744157746279,193
46,175,0.4317934200522814,153
45,52,0.40793236679089645,34
44,1208,0.41302663609101425,1201
43,152,0.40943617791238074,10
42,603,0.4299553591998094,602
41,77,0.5912053006896286,4
40,1,,
39,3,,
38,1,,
37,6,0.360384207555424,4
36,29,,
35,2,,
34,12,0.457082388243248,11
33,18,0.37400259582955825,16
32,12,0.36466519293465627,10
31,55,0.345493688886968,26
30,5,0.3261465707597445,4
29,7,0.42910709962082977,6
28,6,0.48244235490570253,3
27,11,0.36922170511358515,10
26,9,0.794978618253203,6
25,63,,
24,4,,
23,3,,
19,1,,
16,1,,
