Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,47,,
55,152,0.22421514393107947,143
54,69,0.15305967746417642,54
53,39,0.1410617485729198,30
52,26,0.1965348424545692,23
51,114,0.14956367244816143,112
50,84,0.41456563760544896,71
49,142,0.3171443851781524,131
48,149,0.16092739052435837,138
47,204,0.11244021343792937,193
46,177,0.09355972263932154,155
45,51,0.08235365671708736,35
44,1222,0.13253330581715989,1216
43,137,0.11864579353623661,10
42,602,0.06988788997188451,601
41,78,0.3876617858678259,4
40,1,,
39,3,,
38,1,,
37,7,0.2661557376319612,5
36,28,,
35,2,,
34,12,0.14256481455685233,11
33,18,0.17182673866140624,16
32,12,0.19015343670206164,10
31,54,0.08518774788613517,25
30,6,0.07313570936209919,4
29,10,0.062092942477541636,9
28,4,,
27,11,,
26,7,0.21075103282072893,5
25,54,0.28423257922903217,53
24,14,,
23,3,,
19,1,,
16,1,,
