Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,54,,
55,143,0.10917970021109547,141
54,73,0.0607083826292138,56
53,36,0.067669834857263,29
52,26,0.07123987906028306,22
51,107,0.04739562145543161,104
50,94,0.15074409964462718,73
49,135,0.060591956350480584,126
48,149,0.05764576534291659,133
47,213,0.05264103221423104,197
46,172,0.0437046711692859,154
45,50,0.03890148468343916,33
44,1224,0.03682298117612703,1216
43,135,0.024636892704717576,8
42,615,0.02179255589701343,612
41,66,0.14559616649244864,3
40,2,0.0704917964014132,1
39,3,,
38,1,,
37,7,0.228721129344502,5
36,28,,
35,2,,
34,13,0.07495075476246088,12
33,16,0.13463907419174162,15
32,12,0.10186677313179977,9
31,55,0.07045364477332808,25
30,7,0.05291402882856392,5
29,8,,
28,4,0.07529440856705508,3
27,13,0.0877015448570263,12
26,5,0.19433713078069662,4
25,59,0.0913122455393041,57
24,10,,
23,3,,
19,1,,
16,1,,
