Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,54,0.48763952107088393,52
55,147,0.17518737279789984,143
54,72,0.24160569118967,57
53,38,0.14019055652977458,32
52,24,0.168367414693375,23
51,114,0.15099939271668364,112
50,88,0.23351548595470126,75
49,120,0.2232089749156762,113
48,171,0.15243529510315776,142
47,204,0.12242790428468149,197
46,177,0.1097592978131244,159
45,50,0.2017884484497635,38
44,1205,0.09812622324310559,1202
43,149,0.07925486607154307,8
42,608,0.08528092083099065,605
41,74,0.21008315777335074,4
40,1,,
39,3,,
38,1,,
37,7,0.09373671097256203,5
36,28,,
35,3,,
34,11,,
33,14,0.12293394729974018,12
32,15,0.13070552281224576,9
31,54,0.10119889709546594,24
30,8,0.10896316208250235,5
29,9,,
28,3,,
27,13,0.17312946985431749,12
26,7,0.15374406619217718,6
25,59,,
24,8,,
23,3,,
19,1,,
16,1,,
