Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,51,,
55,138,0.00023062255265098955,133
54,81,0.0033787510763401223,56
53,34,0.000597560929948082,27
52,31,0.0027589777303959465,25
51,110,,
50,88,101942.37316635302,73
49,136,0.051662176245458345,127
48,150,0.004696147393682757,135
47,210,0.01741408853583367,196
46,163,1.3530536676495213,144
45,66,0.3840180383458346,39
44,1221,0.16301842934621583,1219
43,133,0.12874661044393043,9
42,610,0.06736611208707005,608
41,70,1.4644774399467737,3
40,2,0.08750481378990879,1
39,3,,
38,1,,
37,7,0.10951975137982635,5
36,28,,
35,3,,
34,13,,
33,16,,
32,11,0.7303697176966862,9
31,54,0.5580777915078391,24
30,7,0.524840680929055,4
29,8,0.4495382314111071,7
28,6,1.4184731391715255,4
27,12,,
26,6,2.905883803309385,5
25,63,1.5065767202973983,62
24,5,,
23,2,,
22,1,,
19,1,,
16,1,,
