Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,50,,
55,149,0.055967593569965016,143
54,73,0.029598470461533764,58
53,33,0.03861094380687203,28
52,29,0.027508262408441078,24
51,115,0.019501340290512186,114
50,83,0.5577648985041761,72
49,141,0.08031527135994837,131
48,139,0.028436203339537107,128
47,217,0.02962028009010582,196
46,166,0.015280498610366629,147
45,63,0.024264894553092803,39
44,1201,0.013922303424180086,1199
43,153,0.02112381260360915,9
42,616,0.008682801176228596,614
41,64,0.04866225758736014,3
40,2,0.014163336189545628,1
39,3,,
38,1,,
37,6,0.01234378414882189,4
36,29,,
35,3,,
34,12,,
33,17,0.03759829414512169,16
32,12,0.019524157977778848,10
31,56,0.026608930927119107,27
30,3,,
29,10,0.018244486408205585,8
28,4,0.02102542542397145,3
27,14,0.04731174449944751,13
26,6,,
25,59,,
24,8,,
23,2,,
22,1,,
19,1,,
16,1,,
