Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,50,,
55,142,0.05367596143676471,136
54,79,0.05630916514385965,57
53,37,0.03705838479290322,31
52,26,0.02847968122366667,24
51,108,0.024363609320164483,107
50,89,0.8841615839748959,71
49,145,0.3229867723307821,134
48,139,0.18445502490600307,131
47,213,0.14582478791977357,195
46,173,0.05056117402378038,153
45,56,0.060381614112631585,38
44,1214,0.062274102547432535,1211
43,143,0.07448653899563637,11
42,611,,
41,67,0.12831138470666645,3
40,2,0.14146477140000002,1
39,3,,
38,1,,
37,7,0.07000757618528,5
36,28,,
35,3,,
34,12,,
33,14,0.4746959355723077,13
32,15,0.22697583057120008,10
31,53,0.15366108559999994,24
30,8,0.3323297007792641,5
29,7,,
28,6,0.14240911966000017,4
27,9,,
26,9,1.62550841944,5
25,59,0.4518661128448276,58
24,9,,
23,3,,
19,1,,
16,1,,
