Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,52,,
55,150,0.01135850975342466,146
54,67,0.010668299418181818,55
53,36,0.00621328315357143,28
52,27,0.001554983772727269,22
51,115,0.009289227883928573,112
50,91,0.3771436156717949,78
49,132,0.10593087069531253,128
48,144,0.04338676799230768,130
47,209,0.05230775911210524,190
46,185,0.0032393575624999984,160
45,48,0.021346257648648632,37
44,1203,0.005061661835696413,1199
43,155,0.00472290918181817,11
42,599,,
41,80,0.010399712500000088,4
39,4,0.004906647666666666,3
38,1,,
37,7,0.000647273999999988,5
36,28,,
35,3,,
34,13,,
33,14,,
32,14,0.02089232440000001,10
31,53,0.030914855666666626,24
30,7,0.1004147775,4
29,9,0.032047658374999996,8
28,5,0.06712603799999994,4
27,10,,
26,9,0.17881458749999998,6
25,67,,
23,3,,
19,1,,
16,1,,
