Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,50,0.5718652592137387,48
55,151,0.1532419774261503,143
54,72,0.05402657052828512,57
53,34,0.06863951276813572,28
52,27,0.08763715445997654,22
51,121,0.06712978619215838,118
50,76,0.15112872529810603,69
49,135,0.10553332871590278,122
48,152,0.057508264662753245,132
47,204,0.04069455385679452,187
46,180,0.03574635856692438,152
45,57,0.03953367081881761,38
44,1219,0.033163058174636224,1216
43,137,0.03393640099447481,10
42,615,0.027513272991360572,614
41,65,0.2788299396175201,4
39,3,0.06582005390101017,2
38,2,0.07285403771483603,1
37,6,0.03718567385605397,4
36,29,,
35,3,,
34,13,,
33,14,,
32,14,0.08634453954929808,10
31,52,0.0581241820450609,23
30,9,0.11549173525637516,5
29,8,,
28,4,0.09934390910590997,3
27,13,0.09177273392768556,12
26,7,0.20002853074704322,6
25,61,,
24,6,,
23,3,,
19,1,,
16,1,,
