Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,47,0.11060652584782608,46
55,149,0.022695341733812952,139
54,78,0.01175848401694915,59
53,35,0.007724954364516124,31
52,23,0.0013657558714285701,21
51,111,0.005666469878504674,107
50,92,0.40598518080945956,74
49,139,0.1212221469389313,131
48,145,0.039050216865671644,134
47,210,0.06125779344615384,195
46,173,0.005780713185620913,153
45,55,0.02972722159459461,37
44,1214,0.009521448532231405,1210
43,143,0.0031832026000000327,10
42,611,0.0010017689360655732,610
41,69,0.010462449999999991,4
40,1,,
39,3,,
38,1,,
37,6,0.0010242149999999985,4
36,29,,
35,3,,
34,12,,
33,13,0.13581707016666664,12
32,16,0.04275523219999995,10
31,53,0.028149170124999952,24
30,6,0.019437813333333335,3
29,10,0.012797579625000112,8
28,5,0.16523758799999988,4
27,11,,
26,8,0.17122245000000003,6
25,61,,
24,6,,
23,3,,
19,1,,
16,1,,
