Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,49,,
55,146,0.06026896898779553,139
54,73,0.03133817205126875,54
53,40,0.029212033793028218,31
52,26,0.02567291475360933,24
51,113,0.017368619974835433,112
50,90,0.38378087472667893,77
49,128,0.06604657990960033,123
48,158,0.023797656885225667,139
47,206,0.026792581080851884,196
46,168,0.012579288021710936,149
45,56,0.020951796924303063,34
44,1226,0.012540706472771829,1219
43,134,0.01796457258325181,10
42,598,0.005060022281363597,597
41,82,0.03173103647613653,4
40,1,,
39,2,,
38,2,0.0038448327420409073,1
37,6,0.01100156990040867,4
36,29,,
35,3,,
34,13,,
33,13,,
32,14,0.01763943010459673,9
31,55,0.02288089045907446,25
30,6,0.04750989885998276,4
29,8,0.012614382667224826,7
28,5,0.04382111013627724,3
27,14,0.04127466716612127,13
26,6,,
25,62,,
24,5,,
23,3,,
19,1,,
16,1,,
