Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,53,0.13567645430769232,52
55,141,0.4888124989664896,137
54,77,0.4580476407014529,56
53,38,0.4685356123709619,31
52,27,0.48669343450894936,25
51,107,,
50,94,0.7468380238572333,76
49,131,0.3776879587179482,125
48,147,0.37670089992197636,130
47,214,0.36829578792150436,195
46,170,0.38762990741206665,150
45,57,0.35828296838019674,36
44,1203,0.3557253242306652,1198
43,155,0.35375486054534555,10
42,626,0.38070822000858234,625
41,53,0.501981946294575,3
40,2,0.49124212936880945,1
39,3,,
38,1,,
37,7,0.24829718476653717,5
36,28,,
35,2,,
34,13,0.39569708967460515,12
33,15,0.3721701256865,14
32,11,0.40367659748497037,7
31,59,0.2862847839813304,27
30,5,,
29,7,,
28,6,0.2914859607605339,4
27,12,,
26,7,0.6556704555113577,6
25,62,,
24,5,,
23,3,,
19,1,,
16,1,,
