Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,47,,
55,155,0.45516643022013364,146
54,72,0.44665687553781197,60
53,36,0.458869139663371,33
52,21,,
51,121,0.4450058824842864,117
50,82,0.6182442493797004,74
49,136,0.3509236601638207,128
48,145,0.351910108407537,131
47,215,0.37129849401209797,197
46,175,0.4250486826130697,157
45,49,0.40735921311945544,35
44,1204,0.41216951320632267,1198
43,155,0.4418135934184076,10
42,600,0.42860831446318554,599
41,80,0.5906016674002634,4
40,1,,
39,3,,
38,1,,
37,6,0.3740373943250187,4
36,29,,
35,3,,
34,11,,
33,16,0.2689102362130888,14
32,13,0.40951944999455997,9
31,57,0.3406255998470053,27
30,5,,
29,8,,
28,5,0.4560168738913478,4
27,11,,
26,7,0.7847361334052566,5
25,61,0.36659833267901465,60
24,7,,
23,3,,
19,1,,
16,1,,
