Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,48,,
55,146,0.0002143585682156823,138
54,68,0.0019363630051124612,48
53,45,0.0008267024510095736,30
52,26,0.002992562835892563,23
51,114,0.01114464221169191,112
50,86,903.195043876966,73
49,137,0.11578855367392399,128
48,151,0.1432661199711879,137
47,206,0.7147362315476016,194
46,176,0.4607076872864711,155
45,53,0.5478633724569384,37
44,1214,0.35938172982536776,1210
43,143,0.31758479017391567,10
42,616,0.19813781364944938,615
41,64,1.0140425499999999,4
40,1,,
39,3,,
38,1,,
37,6,0.10514031414436632,4
36,29,,
35,2,,
34,13,0.18052416907174212,12
33,12,1.7036234089189517,11
32,16,0.8272612011370436,9
31,56,0.6059547548192206,26
30,6,0.7487564816037039,5
29,9,,
28,3,,
27,12,0.690002729016712,11
26,8,2.252315016672573,6
25,58,,
24,9,,
23,3,,
19,1,,
16,1,,
